ID,Type,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,V_I,P,dP,T0,A,Ecc,Incl,Peri,Var,Model,S,C,Remarks
OGLE-LMC-HB-0001,RG,4.755433,-67.053972,-99.99,LMC145.1.4667,LMC540.27.63,-99.99,15.905,17.291,1.386,376.42,0.27,9231.2,0.03,0.314,54.1,132.3,-99.99,1,0.00539,0.0013,
OGLE-LMC-HB-0002,RG,4.773567,-72.799389,-99.99,-99.99,LMC528.21.4791,OGLE-LMC-ECL-26648,16.52,17.9,1.38,207.35,0.12,9015.7,0.039,0.314,79.7,24.3,-99.99,1,0.00518,0.00202,
OGLE-LMC-HB-0003,MS,4.784006,-68.917139,-99.99,LMC141.8.8773,LMC539.08.103,OGLE-LMC-ECL-26688,15.886,15.848,-0.038,4.186218,0.000029,9002.575,0.03,0.136,41.7,168.2,-99.99,1,0.0146,-0.0045,
OGLE-LMC-HB-0004,RG,4.787808,-68.973583,-99.99,LMC142.4.50,LMC539.08.27,-99.99,15.574,17.283,1.709,243.965,0.094,9112.6,0.028,0.291,30.7,173.4,ECL,0,0.0102,-0.00665,
OGLE-LMC-HB-0005,RG,4.788506,-70.079056,-99.99,LMC143.1.18,LMC530.31.2375,-99.99,14.225,15.753,1.528,494.52,0.27,9437.3,0.037,0.3109,62,120.4,-99.99,1,0.00574,0.0005,
OGLE-LMC-HB-0006,RG,4.790075,-70.677528,-99.99,LMC144.1.7335,LMC530.14.7330,-99.99,15.853,17.36,1.507,202.326,0.062,9000.2,0.029,0.183,51.7,92.7,TEO,1,0.00976,-0.00167,
OGLE-LMC-HB-0007,RG,4.791044,-69.485611,-99.99,LMC142.1.21,LMC531.15.2912,-99.99,14.506,15.943,1.437,662.83,0.68,9164.7,0.021,0.519,70,14.4,-99.99,1,0.00121,0.00064,
OGLE-LMC-HB-0008,RG,4.796111,-69.290417,-99.99,LMC142.2.45,LMC531.24.4,-99.99,14.271,15.623,1.352,404.2,0.24,9264.7,0.031,0.212,50.5,2.6,-99.99,1,0.00963,-0.0004,
OGLE-LMC-HB-0009,RG,4.82755,-68.515389,-99.99,LMC141.3.13731,LMC532.06.25753,EROS2-star lm015-5k-26494,15.161,16.968,1.807,592.56,0.17,9482.8,0.061,0.4466,59.9,79.2,-99.99,1,0.00552,-0.00071,
OGLE-LMC-HB-0010,RG,4.835717,-70.018,-99.99,LMC136.8.64,LMC530.29.22963,-99.99,15.094,16.287,1.193,177.161,0.045,9062.8,0.023,0.407,36.65,65.8,-99.99,1,0.00601,-0.0028,
OGLE-LMC-HB-0011,RG,4.8379,-70.177583,-99.99,LMC137.5.11971,LMC530.29.16078,-99.99,15.591,17.2,1.609,438.74,0.34,9331,0.025,0.282,89.8,122.3,-99.99,1,0.00324,0.002,
OGLE-LMC-HB-0012,RG,4.845908,-70.098139,-99.99,LMC136.8.11243,LMC530.29.19176,OGLE-LMC-ECL-01488,15.371,16.882,1.511,435.49,0.22,9405.3,0.041,0.296,54.8,18.8,ECL,0,0.00812,-0.00052,
OGLE-LMC-HB-0013,RG,4.846486,-70.275611,-99.99,LMC137.5.12067,LMC530.21.18945,OGLE-LMC-ECL-27014,15.999,17.499,1.5,324.538,0.078,9182.4,0.048,0.452,76.3,59.6,-99.99,1,0.00311,0.00101,
OGLE-LMC-HB-0014,RG,4.849042,-69.426722,-99.99,LMC135.8.17507,LMC531.13.10236,EROS2-star lm012-2m-3813,14.497,15.726,1.229,359.11,0.19,9253.1,0.041,0.26,39.03,161.7,-99.99,1,0.01416,-0.00585,
OGLE-LMC-HB-0015,RG,4.856022,-67.221167,-99.99,LMC139.4.7634,LMC533.06.19946,-99.99,15.238,16.618,1.38,311.75,0.15,9257.2,0.028,0.191,66,47.3,-99.99,1,0.00613,0.00153,
OGLE-LMC-HB-0016,RG,4.864228,-69.720583,-99.99,LMC136.6.15163,LMC531.04.31795,-99.99,15.207,16.232,1.025,128.69,0.032,9086.4,0.023,0.2,76.8,32.7,-99.99,1,0.00439,0.00261,
OGLE-LMC-HB-0017,MS,4.865533,-69.392889,-99.99,LMC135.7.7716,LMC531.12.36543,-99.99,16.258,16.17,-0.088,19.72612,0.00031,9004.111,0.093,0.176,17.31,9.4,-99.99,1,0.0741,-0.0568,
OGLE-LMC-HB-0018,RG,4.868228,-66.81,-99.99,LMC138.3.7148,LMC533.23.11,-99.99,14.975,16.558,1.583,577.86,0.24,9165.2,0.052,0.3787,53.1,173.4,-99.99,1,0.00806,0.00024,
OGLE-LMC-HB-0019,RG,4.870322,-69.550889,-99.99,-99.99,LMC531.12.24810,-99.99,15.487,17.067,1.58,547.52,0.73,9326.2,0.022,0.447,60.1,102.2,-99.99,1,0.002,0.00082,
OGLE-LMC-HB-0020,RG,4.8733,-68.365139,-99.99,LMC134.5.22443,LMC532.13.4,OGLE-LMC-ECL-01908,12.874,14.222,1.348,415.377,0.038,9386.91,0.263,0.0191,12.7,45.88,ECL,0,1.0663,-0.9999,
OGLE-LMC-HB-0021,RG,4.876208,-68.842667,-99.99,LMC134.8.26510,LMC531.29.6068,-99.99,15.204,16.891,1.687,402.65,0.34,9126.1,0.021,0.131,43.3,171.5,-99.99,1,0.0099,-0.0026,
OGLE-LMC-HB-0022,RG,4.890814,-66.566,-99.99,-99.99,LMC533.22.9632,EROS2-star lm028-1n-24990,15.025,16.777,1.752,370.7,0.13,9249.8,0.085,0.2967,54.2,100.2,-99.99,1,0.0173,-0.0065,
OGLE-LMC-HB-0023,RG,4.900642,-68.121028,-99.99,LMC133.7.17484,LMC532.12.15797,-99.99,16.226,17.718,1.492,237.91,0.12,9078.9,0.026,0.193,73.6,104.8,-99.99,1,0.00512,0.00252,
OGLE-LMC-HB-0024,RG,4.912181,-69.082444,-99.99,LMC135.4.4729,LMC531.20.13102,-99.99,15.598,17.149,1.551,222.295,0.064,9039.1,0.035,0.289,44.9,144.9,-99.99,1,0.00897,-0.00163,
OGLE-LMC-HB-0025,RG,4.912639,-66.3535,-99.99,-99.99,LMC533.29.14235,-99.99,14.43,16.162,1.732,578.54,0.61,9125.9,0.057,0.371,74.6,75.6,-99.99,1,0.00562,0.00192,
OGLE-LMC-HB-0026,RG,4.915436,-70.757389,-99.99,LMC130.5.9,LMC530.10.2672,-99.99,13.916,15.416,1.5,700,1,9470.9,0.021,0.407,45.5,17.3,-99.99,0,0.00327,-0.00075,
OGLE-LMC-HB-0027,MS,4.916164,-67.633889,-99.99,LMC132.8.13249,LMC532.28.22811,OGLE-LMC-ECL-27523,16.177,16.108,-0.069,6.451445,0.000072,9004.756,0.028,0.328,48.2,59.9,ECL,0,0.00593,-0.00103,
OGLE-LMC-HB-0028,RG,4.919147,-67.590833,-99.99,LMC132.2.3,LMC532.28.27326,-99.99,14.292,15.669,1.377,636.65,0.47,9517.1,0.028,0.494,56.5,3,-99.99,1,0.00233,0.00075,
OGLE-LMC-HB-0029,RG,4.925325,-72.588583,-99.99,-99.99,LMC507.16.33,EROS2-star lm067-4m-6381,14.872,16.631,1.759,433.04,0.31,9097.8,0.072,0.2954,69.2,96.6,-99.99,1,0.0106,0.0018,
OGLE-LMC-HB-0030,MS,4.925339,-69.468194,-99.99,LMC135.1.25511,LMC531.10.36227,-99.99,16.516,16.656,0.14,395.067,0.057,9386.9,0.097,0.4619,35.15,35.4,ECL,0,0.01626,-0.0087,
OGLE-LMC-HB-0031,RG,4.928961,-68.710972,-99.99,LMC134.2.33954,LMC531.27.57392,-99.99,15.641,17.281,1.64,496.03,0.19,9267.5,0.045,0.3979,62.3,174.2,-99.99,1,0.00559,0.00173,
OGLE-LMC-HB-0032,MS,4.929953,-69.469167,-99.99,LMC135.1.30322,LMC531.10.36099,OGLE-LMC-ECL-03133,13.965,13.923,-0.042,31.089595,0.000057,9013.021,0.248,0.7434,89.9,90,ECL,0,0.001565,-0.00025,
OGLE-LMC-HB-0033,RG,4.930608,-70.031972,-99.99,LMC128.8.19813,LMC530.26.25958,OGLE-LMC-ECL-03149,15.544,17.149,1.605,622.84,0.14,9177.8,0.079,0.5506,88.5,70.5,ECL,1,0.00268,0.0002,
OGLE-LMC-HB-0034,RG,4.932394,-66.936778,-99.99,LMC131.2.50,LMC533.11.22828,OGLE-LMC-ECL-27647,15.05,16.604,1.554,537.06,0.3,9385.5,0.033,0.445,59.9,36.5,-99.99,1,0.00292,0.00075,
OGLE-LMC-HB-0035,RG,4.943517,-72.347167,-99.99,-99.99,LMC507.24.22,2MASS J04563665-7220498,15.512,17.03,1.518,242.594,0.071,9083.6,0.09,0.2296,52.2,68.1,-99.99,1,0.0241,-0.0025,
OGLE-LMC-HB-0036,RG,4.945353,-69.571028,-99.99,LMC128.5.31659,LMC531.10.24,OGLE-LMC-ECL-03512,15.542,17.079,1.537,271.606,0.055,9080.9,0.056,0.2181,51,72.1,OSARG,1,0.01648,-0.00244,
OGLE-LMC-HB-0037,RG,4.946867,-70.355528,-99.99,LMC129.6.18547,LMC530.18.8028,-99.99,15.462,16.939,1.477,392.56,0.31,9028.4,0.026,0.458,44,4.1,-99.99,1,0.00329,-0.00053,
OGLE-LMC-HB-0038,MS,4.949636,-66.389528,-99.99,-99.99,LMC533.28.4396,2MASS J04565868-6623224,15.375,15.368,-0.007,4.18476,0.00014,9000.05,0.014,0.288,34.8,13,ECL,0,0.0049,-0.0017,
OGLE-LMC-HB-0039,RG,4.95,-69.33225,-99.99,LMC127.7.56,LMC531.09.50649,-99.99,14.914,16.301,1.387,356.35,0.28,9030.3,0.021,0.296,45.7,17.8,-99.99,1,0.00511,-0.0006,
OGLE-LMC-HB-0040,RG,4.951117,-70.961278,-99.99,LMC130.6.13839,LMC508.25.10629,-99.99,15.628,17.099,1.471,327.99,0.25,9087.6,0.021,0.247,67,133.9,-99.99,0,0.00378,0.00122,
OGLE-LMC-HB-0041,RG,4.951306,-72.2805,-99.99,-99.99,LMC507.24.10,-99.99,14.373,15.932,1.559,354.75,0.35,9277.8,0.049,0.164,65,35.6,-99.99,1,0.0123,0.0047,
OGLE-LMC-HB-0042,RG,4.952847,-70.973028,-99.99,LMC130.6.13841,LMC508.25.10623,-99.99,15.598,17.16,1.562,575.54,0.28,9472.2,0.039,0.502,56.2,59.4,-99.99,1,0.00278,-0.0004,
OGLE-LMC-HB-0043,MS,4.954742,-69.667056,-99.99,LMC128.5.5858,LMC531.01.45685,OGLE-LMC-ECL-03748,16.231,16.197,-0.034,8.54268,0.0002,9003.64,0.022,0.44,42.6,127.3,ECL,0,0.00339,-0.00163,
OGLE-LMC-HB-0044,RG,4.955106,-69.321278,-99.99,LMC127.7.8481,LMC531.09.50669,-99.99,15.056,16.631,1.575,694.34,0.37,9163.3,0.033,0.511,63,139,TEO,1,0.00195,-0.00006,
OGLE-LMC-HB-0045,MS,4.957247,-69.440639,-99.99,LMC127.8.34170,LMC531.09.42317,OGLE-LMC-ECL-03811,15.876,15.832,-0.044,4.788411,0.000054,9001.224,0.022,0.29,52.9,6,ECL,0,0.00487,-0.00131,
OGLE-LMC-HB-0046,MS,4.963744,-70.204306,-99.99,LMC129.5.19448,LMC509.16.3,-99.99,14.102,14.195,0.093,43.5187,0.0015,9028.8,0.076,0.421,19,77.8,-99.99,1,0.02031,-0.01436,
OGLE-LMC-HB-0047,RG,4.964442,-69.639444,-99.99,LMC128.5.12118,LMC509.25.22191,-99.99,15.817,17.34,1.523,322.17,0.13,9101.1,0.032,0.186,89.9,127.7,-99.99,1,0.00589,0.00252,
OGLE-LMC-HB-0048,RG,4.971789,-72.885194,-99.99,-99.99,LMC507.06.48,EROS2-star lm067-5l-26764,15.061,16.83,1.769,444.5,0.28,9043.6,0.075,0.3103,60.4,13.1,-99.99,1,0.01319,0.00237,
OGLE-LMC-HB-0049,RG,4.975167,-70.748833,-99.99,LMC130.4.77,LMC508.32.133,-99.99,16.122,17.464,1.342,394.2,0.36,9128.8,0.024,0.44,58.3,28.8,-99.99,1,0.00229,0.00014,
