# Date:     2024-01-15 15:52:13
# Database: ocvs
# Target:   lmc_acep
# Query:    TRUE 
# Objects:  148
# Columns:
# ID	Mode	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	P_3	dP_3	T0_3	A_3	R21_3	phi21_3	R31_3	phi31_3	Remarks
OGLE-LMC-ACEP-001	F	4.621936	-69.819861	-99.99	LMC150.6.440	LMC538.22.498	-99.99	18.038	18.648	0.610	0.8502339	0.0000013	6000.63397	0.673	0.452	4.362	0.357	2.545	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-002	F	4.698953	-66.866417	-99.99	LMC145.6.307	LMC540.29.4482	-99.99	17.611	18.240	0.629	0.9766424	0.0000011	6000.31699	0.514	0.375	4.228	0.298	2.162	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-003	1	4.721119	-69.132667	-99.99	LMC149.3.8505	LMC539.02.2704D	-99.99	18.252	-99.99	-99.99	0.3817797	0.0000002	6000.11457	0.498	0.352	3.775	0.083	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-004	F	4.789339	-70.370000	-99.99	LMC144.3.8119	LMC530.23.7547	-99.99	17.012	17.669	0.657	1.8618463	0.0000026	6000.56192	0.651	0.474	4.858	0.232	3.324	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-006	1	4.876253	-69.724306	-99.99	LMC136.3.263	LMC531.04.10401	-99.99	17.062	17.677	0.615	0.8495758	0.0000009	6000.54612	0.391	0.454	4.736	0.243	2.591	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-007	F	4.958747	-70.264889	-99.99	LMC129.5.20588	LMC530.17.29619	-99.99	17.694	18.209	0.515	0.8963997	0.0000009	6000.07908	0.720	0.396	4.232	0.280	1.952	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-008	1	4.973494	-71.086528	-99.99	LMC130.2.233	LMC508.24.238	-99.99	17.304	17.928	0.624	0.7490851	0.0000016	6000.63565	0.269	0.222	3.589	0.107	1.150	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-009	1	4.980917	-67.739944	-99.99	LMC124.8.4801	LMC532.26.196	1/NGC1786	17.364	17.897	0.533	0.8000722	0.0000011	6000.33299	0.369	0.218	4.888	0.097	3.172	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-010	F	4.983361	-68.233667	-99.99	LMC125.8.27831	LMC532.09.6402	-99.99	18.034	18.688	0.654	0.8342050	0.0000007	6000.33826	0.687	0.460	4.299	0.369	2.372	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-ACEP-011	F	4.993914	-70.629306	-99.99	LMC129.1.1133	LMC508.31.3528D	-99.99	17.676	-99.99	-99.99	0.9986572	0.0000253	6000.02883	0.322	0.235	4.645	0.102	5.657	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
