# Date:     2024-01-15 15:50:33
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	P_3	dP_3	T0_3	A_3	R21_3	phi21_3	R31_3	phi31_3	Remarks
OGLE-LMC-CEP-0001	1	4.516033	-69.060389	-99.99	LMC156.5.186	LMC546.19.3065	-99.99	17.755	18.154	0.399	0.3068181	0.0000004	6000.12792	0.359	0.292	4.676	0.071	2.928	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0002	F	4.529736	-69.819306	-99.99	LMC157.6.2009	LMC538.25.57	-99.99	15.691	16.420	0.729	3.1181490	0.0000109	6000.34799	0.261	0.295	4.645	0.093	3.004	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0003	1	4.584917	-70.424139	-99.99	LMC151.6.310	LMC538.06.389	-99.99	17.846	18.384	0.538	0.3500957	0.0000005	6000.23531	0.322	0.178	4.887	0.088	2.828	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0004	1	4.588933	-69.802139	-99.99	LMC157.3.2913	LMC538.23.35	S6724 NSV01678	15.123	15.690	0.567	2.2296385	0.0000065	6000.63293	0.245	0.146	4.676	0.000	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0005	F	4.592089	-69.734944	-99.99	LMC157.3.2916	LMC538.23.6237	S6725 NSV01679	14.651	15.425	0.774	5.6119491	0.0000135	6004.75854	0.508	0.437	4.946	0.164	3.385	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0006	1	4.595044	-69.724750	-99.99	LMC150.6.14	LMC538.23.6238	S6727 NSV01682	14.707	15.366	0.659	3.2947501	0.0000213	6000.96197	0.211	0.105	3.443	0.063	0.285	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0007	1	4.608350	-68.626583	-99.99	LMC155.3.5189	LMC539.23.124	-99.99	16.955	17.561	0.606	0.7090827	0.0000019	6000.23537	0.191	0.174	3.336	0.137	1.076	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0008	12	4.609189	-69.312111	-99.99	LMC156.2.5440	LMC538.30.6898	-99.99	16.337	16.921	0.584	0.9728732	0.0000040	6000.02976	0.237	0.247	4.033	0.048	2.117	0.7820014	0.0000108	6000.61058	0.068	0.151	6.142	0.142	0.503	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0009	1	4.614481	-68.064250	-99.99	LMC154.3.22	LMC540.07.28	-99.99	15.433	16.130	0.697	2.0243667	0.0000276	6001.86064	0.195	0.175	4.864	0.035	2.907	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-CEP-0010	1	4.615686	-68.240833	-99.99	LMC154.1.22	LMC539.31.25	-99.99	14.990	15.572	0.582	2.5655853	0.0000092	6002.26741	0.262	0.068	4.410	0.025	5.761	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
