# Date:     2024-01-15 15:55:51
# Database: ocvs
# Target:   lmc_hb
# Query:    TRUE 
# Objects:  439
# Columns:
# ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	dP	T0	A	Ecc	Incl	Peri	Var	Model	S	C	Remarks
OGLE-LMC-HB-0001	RG	4.755433	-67.053972	-99.99	LMC145.1.4667	LMC540.27.63	-99.99	15.905	17.291	1.386	376.42000000	0.27000000	9231.2000	0.030	0.3140	54.10	132.30	-99.99	1	0.005390	0.001300	
OGLE-LMC-HB-0002	RG	4.773567	-72.799389	-99.99	-99.99	LMC528.21.4791	OGLE-LMC-ECL-26648	16.520	17.900	1.380	207.35000000	0.12000000	9015.7000	0.039	0.3140	79.70	24.30	-99.99	1	0.005180	0.002020	
OGLE-LMC-HB-0003	MS	4.784006	-68.917139	-99.99	LMC141.8.8773	LMC539.08.103	OGLE-LMC-ECL-26688	15.886	15.848	-0.038	4.18621800	0.00002900	9002.5750	0.030	0.1360	41.70	168.20	-99.99	1	0.014600	-0.004500	
OGLE-LMC-HB-0004	RG	4.787808	-68.973583	-99.99	LMC142.4.50	LMC539.08.27	-99.99	15.574	17.283	1.709	243.96500000	0.09400000	9112.6000	0.028	0.2910	30.70	173.40	ECL	0	0.010200	-0.006650	
OGLE-LMC-HB-0005	RG	4.788506	-70.079056	-99.99	LMC143.1.18	LMC530.31.2375	-99.99	14.225	15.753	1.528	494.52000000	0.27000000	9437.3000	0.037	0.3109	62.00	120.40	-99.99	1	0.005740	0.000500	
OGLE-LMC-HB-0006	RG	4.790075	-70.677528	-99.99	LMC144.1.7335	LMC530.14.7330	-99.99	15.853	17.360	1.507	202.32600000	0.06200000	9000.2000	0.029	0.1830	51.70	92.70	TEO	1	0.009760	-0.001670	
OGLE-LMC-HB-0007	RG	4.791044	-69.485611	-99.99	LMC142.1.21	LMC531.15.2912	-99.99	14.506	15.943	1.437	662.83000000	0.68000000	9164.7000	0.021	0.5190	70.00	14.40	-99.99	1	0.001210	0.000640	
OGLE-LMC-HB-0008	RG	4.796111	-69.290417	-99.99	LMC142.2.45	LMC531.24.4	-99.99	14.271	15.623	1.352	404.20000000	0.24000000	9264.7000	0.031	0.2120	50.50	2.60	-99.99	1	0.009630	-0.000400	
OGLE-LMC-HB-0009	RG	4.827550	-68.515389	-99.99	LMC141.3.13731	LMC532.06.25753	EROS2-star lm015-5k-26494	15.161	16.968	1.807	592.56000000	0.17000000	9482.8000	0.061	0.4466	59.90	79.20	-99.99	1	0.005520	-0.000710	
OGLE-LMC-HB-0010	RG	4.835717	-70.018000	-99.99	LMC136.8.64	LMC530.29.22963	-99.99	15.094	16.287	1.193	177.16100000	0.04500000	9062.8000	0.023	0.4070	36.65	65.80	-99.99	1	0.006010	-0.002800	
