# Date:     2024-01-15 15:59:05
# Database: ocvs
# Target:   blg_transits
# Query:    TRUE 
# Objects:  99
# Columns:
# ID	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	pr_pl	P	T0	A_1	mstar	rstar	logg	teff	feh	distance	rp	mp	tc	a	ideg	teq	delta	tau	t14	b	Remarks
OGLE-TR-1001	267.429875	-29.394972	-99.99	BLG194.6.8	BLG501.32.33777	-99.99	13.923	14.815	0.891999	1	2.1093182924	6782.989226602	0.008437	2.2375	1.8618	4.248	8950.05	0.45	1817.9	1.664	149.474	5378.1832438945	0.042977	81.573	2840.61	0.008437	0.0186818	0.11186	0.727	-99.99
OGLE-TR-1002	267.463667	-29.300306	-99.99	BLG194.6.55165	BLG501.32.25056	-99.99	15.419	17.021	1.602	0.93	13.1978978134	6264.0457138191	0.013803	1.2841	1.4012	4.254	6026.18	0.47	1605.18	1.602	0.4094	5379.7865603208	0.11881	87.381	997.929	0.013803	0.0523589	0.17181	0.833	-99.99
OGLE-TR-1003	267.594875	-29.388722	-99.99	BLG194.6.11411	BLG501.31.56128	-99.99	15.382	16.872	1.49	1	2.7762209303	7128.3607522682	0.002992	0.8827	1.0021	4.382	5542.99	-0.1	1034.36	0.533	0.0851	5379.3415661585	0.037084	87.672	1389.45	0.002992	0.0064716	0.11188	0.323	-99.99
OGLE-TR-1004	267.597292	-30.250389	-99.99	BLG100.8.57401	BLG501.06.104268	-99.99	14.168	15.348	1.18	1	10.1868864941	6826.3813673402	0.006492	1.9596	1.9559	4.148	7716.39	0.27	1682.25	1.534	135.937	5379.8434851766	0.117571	86.679	1517.65	0.006492	0.0308928	0.19587	0.749	-99.99
OGLE-TR-1005	267.619583	-29.906639	BUL_SC5.258105	BLG100.6.92588	BLG501.14.93219	-99.99	14.824	15.931	1.107	1	4.565982023	6773.1719415081	0.006844	0.9488	1.9023	3.857	7745.7	-4.2	2335.64	1.531	0.3964	5380.5474244808	0.052935	85.101	2239.08	0.006844	0.0237498	0.23372	0.511	-99.99
OGLE-TR-1006	267.66	-29.368556	-99.99	BLG194.6.41837	BLG501.31.30472	-99.99	14.902	16.64	1.738	0.99	1.8081990748	6854.3077336936	0.002885	1.6582	2.1112	4.009	5735.07	0.53	1568.09	1.103	55.9666	5377.0090895919	0.034746	75.509	2155.7	0.002885	0.0201265	0.09638	0.886	-99.99
OGLE-TR-1007	267.698167	-30.199917	-99.99	BLG100.8.109395	BLG501.06.29427	-99.99	12.855	13.626	0.771001	1	3.5659261399	6566.6571982987	0.010959	1.6483	3.0426	3.689	6756.05	-3.65	1752.73	3.1	301.541	5379.2037937203	0.056933	77.533	2381.59	0.010959	0.0677324	0.1982	0.869	-99.99
OGLE-TR-1008	267.7015	-29.680306	BUL_SC5.407414	BLG194.8.26875	BLG501.23.14645	-99.99	15.056	16.583	1.527	1	63.219528709	6744.2001707414	0.004852	0.9999	2.102	3.793	5436.59	-3.05	1805.62	1.425	124.516	5416.5900678518	0.322411	88.585	669.382	0.004852	0.074413	0.42316	0.815	-99.99
OGLE-TR-1009	267.73625	-29.680306	-99.99	BLG194.8.31608	BLG501.22.131144	-99.99	14.155	15.146	0.991	1	29.5490595545	6609.687307585	0.0109	3.915	2.1168	4.379	21299.2	-3.62	2947.18	2.151	0.414	5398.1758658504	0.294818	89.911	2752.08	0.0109	0.0328439	0.34663	0.046	-99.99
OGLE-TR-1010	267.878667	-29.929222	-99.99	BLG100.3.67056	BLG501.13.26254	-99.99	14.519	15.718	1.199	1	2.2063889326	6626.2409778484	0.00749	0.8287	1.894	3.802	6733.12	-4.48	1811.12	1.595	0.4068	5377.4248419902	0.031159	80.388	2531.3	0.00749	0.0222693	0.18579	0.591	-99.99
